geometry,brand,brand:wikidata,name,shop,addr:city,addr:postcode,addr:street,website,addr:housenumber,opening_hours,building,longitude,latitude
POINT (80.2614084 13.0267144),,,Spencer's Daily,supermarket,Chennai,600028,2nd Main Road,https://www.spencers.in/,,,,80.2614084,13.0267144
POINT (80.2029956 12.9291074),,,Nilgiris Supermarket,supermarket,,,,,,,,80.2029956,12.929107399999998
POINT (80.2430807 13.0206071),,,Hertiage Fresh Supermarket,supermarket,,,,,,,,80.2430807,13.020607099999998
POINT (80.1769318 13.0420426),,,Niligiris,supermarket,,,,,,,,80.1769318,13.042042599999998
POINT (80.2040587 13.0501632),,,Spencers Super Market,supermarket,Vadapalani,600093,Arunachalam St,https://www.spencers.in/,,,,80.2040587,13.0501632
POINT (80.2580999 12.9737686),,,J.K. Stores,supermarket,,,,,,,,80.2580999,12.973768599999998
POINT (80.2580826 12.9735902),,,Sri Murugan Stores,supermarket,,,,,,,,80.2580826,12.9735902
POINT (80.1903845 13.0468582),,,Chandra Metro Mall,supermarket,,,,,,,,80.1903845,13.0468582
POINT (80.2174636 13.0342232),,,Jeevan,supermarket,,,,,,,,80.2174636,13.0342232
POINT (80.2522381 12.9952269),,,Cee Dee Yes supermarket,supermarket,,600020,I Avenue Indira nagar,,,,,80.2522381,12.9952269
POINT (80.229992 12.9810009),,,Shopper's Paradise,supermarket,,,,,,,,80.22999200000001,12.9810009
POINT (80.219018 12.9719184),,,Sri Venkatashwara Supermarket,supermarket,Chennai,600042,11th Main Road,,28,,,80.219018,12.971918399999998
POINT (80.2071871 13.0769447),,,Murugan Supermarket,supermarket,,,,,,,,80.2071871,13.076944700000002
POINT (80.2563781 12.9614559),,,Singapore Shoppee,supermarket,,,,,,,,80.2563781,12.9614559
POINT (80.2467629 13.059543),Nilgiri's,Q17079567,Nilgiri's,supermarket,,,,,,,,80.2467629,13.059542999999998
POINT (80.2050056 13.0676158),,,Stop and Shop,supermarket,,,,,,,,80.2050056,13.0676158
POINT (80.2200478 12.9730064),,,Annachi Super Market,supermarket,,,,,,,,80.2200478,12.973006399999996
POINT (80.2385427 13.0414126),Reliance Fresh,Q7311014,Reliance Fresh,supermarket,,,,,,,,80.2385427,13.041412599999996
POINT (80.2293217 13.0630707),Reliance Fresh,Q7311014,Reliance Fresh,supermarket,Chennai,600094,Abdullah Street,,25,Mo-Su 07:00-21:00,,80.2293217,13.0630707
POINT (80.18853 12.9825831),,,Spencer's,supermarket,,600061,"4th Main Road, Nanganallur",https://www.spencers.in/,,,,80.18853,12.9825831
POINT (80.187849 12.9775601),,,Mahayoham Supermarket,supermarket,Chennai,,46th Street,,,,,80.187849,12.977560100000002
POINT (80.1920439 12.9838491),Nilgiri's,Q17079567,Nilgiri's,supermarket,,600061,Nanganallur,,,,,80.1920439,12.9838491
POINT (80.191427 12.9830023),,,Heritage Fresh,supermarket,,600061,Nanganallur,,,,,80.191427,12.9830023
POINT (80.1749834 13.0163006),,,Alams Super Market,supermarket,,,,,,,,80.1749834,13.0163006
POINT (80.2453424 12.9636492),Nilgiri's,Q17079567,Nilgiri's,supermarket,,,,,,,,80.2453424,12.9636492
POINT (80.2173031 13.0922181),Reliance Fresh,Q7311014,Reliance Fresh,supermarket,,,,,,,,80.2173031,13.092218099999997
POINT (80.1917975 12.9827037),,,Sugar N Spice,supermarket,,,,,,,,80.1917975,12.982703699999998
POINT (80.221979 12.9841137),,,Pazhamudhir Cholai,supermarket,Chennai,600042,Jagannathapuram 1st Main road,http://www.pazhamudhircholai.com,1,,,80.221979,12.984113699999998
POINT (80.2226282 12.9837296),Nilgiri's,Q17079567,Nilgiri's,supermarket,,,,,,,,80.2226282,12.983729599999998
POINT (80.2188199 12.9905101),,,Buy Bazaar,supermarket,,,,,,,,80.2188199,12.990510099999996
POINT (80.2023937 12.965964),,,GMart,supermarket,,,,,,,,80.2023937,12.965963999999998
POINT (80.1862123 13.0430957),,,Grace supermarket,supermarket,,,,,,,,80.18621230000001,13.043095700000002
POINT (80.1745662 13.0175064),,,Grow SuperMarket Manapakkam,supermarket,,,,,,,,80.1745662,13.0175064
POINT (80.2618804 12.9828491),,,Singapore Shoppe,supermarket,Chennai,600041,1st Seaward Road,,,,,80.26188040000001,12.9828491
POINT (80.2592138 13.0388272),,,Wait Rose,supermarket,,,,,,,,80.2592138,13.038827199999998
POINT (80.266752 13.0325923),,,Sri Krishna Stores,supermarket,,,,,,,,80.266752,13.032592299999996
POINT (80.2528473 13.0597092),Nilgiri's,Q17079567,Nilgiri's,supermarket,,,,,,,,80.2528473,13.0597092
POINT (80.2505372 13.0070553),,,Style One,supermarket,,,,,,,,80.2505372,13.007055299999998
POINT (80.2224448 13.0253001),More,Q6910891,More,supermarket,,,,,,,,80.22244480000002,13.0253001
