geometry,addr:postcode,amenity,healthcare,name,addr:district,addr:full,addr:state,source,website,addr:block,addr:street,longitude,latitude
POINT (80.2252632 13.0838857),600102,hospital,hospital,U.K. Hospitals Pvt. Ltd.,Chennai,"103/112, D- Block,1st Main Road, Annanagar East",Tamil Nadu,OpenGovernmentData,,,,80.2252632,13.0838857
POINT (80.2415402 13.0892193),600023,hospital,hospital,"Trust Hospital, Chennai",Chennai,"N0 122,Medavakkam Tank Road,Ayanavaram",Tamil Nadu,OpenGovernmentData,,,,80.2415402,13.089219299999998
POINT (80.2076291 13.082343),600040,hospital,hospital,Titan Eye,Chennai,"Road s Enterprises Pvt Limited, Franchisee Of Titan Eye Rbn Tower,Ak-2,4Th Avenue,Shanthi Colony,Annanagar",Tamil Nadu,OpenGovernmentData,,,,80.2076291,13.082342999999996
POINT (80.2371645 13.0332775),600017,hospital,hospital,Sai Ortho Care Hospital,Chennai,"55, Sadulla Street, T.Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2371645,13.0332775
POINT (80.2035199 13.0481888),600093,hospital,hospital,Sooriya Hospital,Chennai,"No.1, Near By Avm Studio, Saligramam, Arunachalam St",Tamil Nadu,OpenGovernmentData,,Chennai Zone X,,80.2035199,13.0481888
POINT (80.2410582 13.0496502),600017,hospital,hospital,Centre For Blood Disorders,Chennai,"Old No.24, New 73, Habibullah Road, T.Nagar",Tamil Nadu,OpenGovernmentData,,,Habibullah Road,80.2410582,13.0496502
POINT (80.2803303 13.1166714),600021,hospital,hospital,Roselin Gandhi Hospital,Chennai,"10/18, Arumugam Street, Old Washermenpet",Tamil Nadu,OpenGovernmentData,,,,80.2803303,13.1166714
POINT (80.2069719 13.0475826),600026,hospital,hospital,Paterson Cancer Center / Vijaya Health Centre Premises,Chennai,"175, N.S.K. Salai, Vadapalani",Tamil Nadu,OpenGovernmentData,,,,80.2069719,13.047582599999998
POINT (80.2481343 13.0558855),600034,hospital,hospital,Fertility Research Centre,Chennai,"6E, Nungambakkam High Road",Tamil Nadu,OpenGovernmentData,,,,80.2481343,13.055885499999995
POINT (80.2187347 13.047269),600024,hospital,hospital,Spot Hospital,Chennai,"No.36, Dr. Ambedkar Road, Kodambakkam",Tamil Nadu,OpenGovernmentData,,,,80.2187347,13.047268999999998
POINT (80.204346 13.1184203),600049,hospital,,B B Hospital,Tiruvallur,"No.52, Dayalunagar, Kolathur, Near Villirakham Railway Station",Tamil Nadu,OpenGovernmentData,,,,80.204346,13.1184203
POINT (80.2205016 12.9758647),600042,hospital,hospital,Appasamy Krishna Hospital and Medical Research Centre,Chennai,"Plot No. 191, 100 Feet By-Pass Road, Velacherry",Tamil Nadu,OpenGovernmentData,,,,80.2205016,12.9758647
POINT (80.2432201 13.0606718),600034,hospital,hospital,"Medindia Hospitals, Chennai",Chennai,"83, Valluvarkottam High Road ( Village Road)",Tamil Nadu,OpenGovernmentData,,,,80.2432201,13.060671799999998
POINT (80.304324 13.1694824),600019,hospital,hospital,"Aakash Hospital, Tiruvallur",Tiruvallur,T H Road,Tamil Nadu,OpenGovernmentData,,,,80.304324,13.1694824
POINT (80.2398249 13.1450072),600081,hospital,hospital,K.M. Multi Speciality Hospital,Chennai,"# 8 & 9 Annai Velakanni Nagar,Madhavaram Milk Colony",Tamil Nadu,OpenGovernmentData,,,,80.2398249,13.1450072
POINT (80.293498 13.1228878),600081,hospital,hospital,Rudhra-Chella Clinicare`N`Cure Services,Chennai,"599,T.H.Road, Tondiarpet",Tamil Nadu,OpenGovernmentData,,,,80.293498,13.122887800000004
POINT (80.2452886 13.0781955),600010,hospital,hospital,K.K.R. ENT Hospital and Research Institute(P) Ltd,Chennai,"827, Poonamallee High Road",Tamil Nadu,OpenGovernmentData,https://www.kkrenthospital.org/,,Poonamalee High Road,80.2452886,13.0781955
POINT (80.1836944 13.0345893),600089,hospital,,Roy's Heart Foundation,Kanchipuram,"No: 3/49, Valluvar Salai, Ramapuram",Tamil Nadu,OpenGovernmentData,,,,80.1836944,13.034589300000004
POINT (80.2299377 13.0503377),600024,hospital,hospital,"Srinivasa Hospital P P N, Chennai",Chennai,"47, Railway Station Road, Near Post Office, Kodambakkam",Tamil Nadu,OpenGovernmentData,,,,80.2299377,13.0503377
POINT (80.2507684 13.0394065),620018,hospital,hospital,Gastro Cre Hospital,Tiruchirappalli,"C,57 11Th Cross Thillai Nagar",Tamil Nadu,OpenGovernmentData,,,,80.2507684,13.039406499999998
POINT (80.1865241 13.0463676),600087,hospital,hospital,Aaditya Kamaraja Eye Hospital,Tiruvallur,"No.36, Ist Main Road, Alwarthirunagar Annexe, Alwarthirunagar, Chennai",Tamil Nadu,OpenGovernmentData,,,,80.1865241,13.046367599999996
POINT (80.2541614 12.9531897),600002,hospital,hospital,Sahishnatha Indtitute Of Maternal And Child Health,Chennai,"No.2/614A,Philios Street,Neelangarai",Tamil Nadu,OpenGovernmentData,,,,80.2541614,12.9531897
POINT (80.2741693 13.0619796),600005,hospital,hospital,Siva E N T Hospital,Chennai,"136 (295), Triplicane High Road",Tamil Nadu,OpenGovernmentData,,,,80.2741693,13.061979599999995
POINT (80.2650954 13.0476113),600014,hospital,hospital,"Vinayagam Laser Hospital, Chennai",Chennai,"194, Old No 289, Lloyd's Road, Avvai Sanmugam Salai, Royapettah",Tamil Nadu,OpenGovernmentData,,,,80.2650954,13.0476113
POINT (80.2736449 13.0524884),600014,hospital,hospital,"Dr Agarwals Eye Hospital, Triplicane",Chennai,"No: 290, Triplicane High Road, Triplicane",Tamil Nadu,OpenGovernmentData,,,,80.2736449,13.0524884
POINT (80.259169 13.0432085),600086,hospital,hospital,"Dr.Agarwal's Eye Hospital Ltd., Gopala Puram",Chennai,"No-19, Cathedral Road",Tamil Nadu,OpenGovernmentData,https://www.dragarwal.com/,,,80.259169,13.0432085
POINT (80.2013205 13.0380111),600093,hospital,hospital,Bharani Hospital,Chennai,"No 22, Arcot Road, Saligramam",Tamil Nadu,OpenGovernmentData,,,,80.2013205,13.038011100000002
POINT (80.294082 13.1738112),600019,hospital,hospital,Vasantha Hospital,Tiruvallur,"No-04, Annai Gangammal Nagar, Satiamurhu Nagar, Thiruvattiyur",Tamil Nadu,OpenGovernmentData,,,,80.294082,13.1738112
POINT (80.2042733 13.0475131),600026,hospital,hospital,Fortis Vadapalani Hospital,Chennai,"Ottagapalayam, Kannika Puram, Vadapalani, Chennai",Tamil Nadu,OpenGovernmentData,,,,80.2042733,13.047513099999998
POINT (80.2147555 13.0748708),636106,hospital,hospital,Tamil Nadu Urological Research Centre Best Kidney Stone Clinic,Chennai,"Poonamallee High Road,Arumbakkam LandMark : Next to Chennai Ford LandMark",Tamil Nadu,OpenGovernmentData,,,,80.2147555,13.074870799999998
POINT (80.2636265 13.0290525),600028,hospital,hospital,Sri Ranga Hospitals,Chennai,"No.06, Chokkalingam St, Jeth Nagar, Mandaveli",Tamil Nadu,OpenGovernmentData,,,,80.2636265,13.0290525
POINT (80.2446245 13.0297278),600035,hospital,hospital,Chamiers Day Care Center,Chennai,"23, Pasumpon Muthuramalinga Thevar Rd, Rathna Nagar, Nandanam",Tamil Nadu,OpenGovernmentData,,,,80.2446245,13.029727799999998
POINT (80.2421492 12.9609724),600096,hospital,,London Harley Street Women And Fertility Centre,Chennai,"12/8, Phase-1, Thirumalai Nagar, Tirumalai Nagar, Perungudi",Tamil Nadu,OpenGovernmentData,,,,80.2421492,12.960972399999996
