geometry,amenity,brand,brand:en,brand:wikidata,brand:wikipedia,currency:INR,drive_through,indoor,name,note,opening_hours,operator,operator:en,operator:wikidata,operator:wikipedia,short_name,created_by,check_date,brand:hi,brand:kn,brand:pa,brand:pnb,brand:ur,cash_in,level,name:en,name:hi,name:kn,name:pa,name:pnb,name:ur,wheelchair,brand:wikipedia:pa,fee,designation,website,branch,addr:city,addr:postcode,addr:street,brand:ta,name:ta,addr:housenumber,brand:fa,brand:mr,brand:website,name:fa,name:mr,short_name:pa,short_name:ur,description,phone,network,official_name,atm,longitude,latitude
POINT (80.2419714 13.0699549),atm,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,yes,no,yes,State Bank of India,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,State Bank of India,State Bank of India,Q1340361,en:State Bank of India,SBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2419714,13.069954899999999
POINT (80.1803841 13.0501228),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1803841,13.050122799999999
POINT (80.1814506 13.0496187),atm,Punjab National Bank,,Q2743499,,,,,Punjab National Bank,,,Punjab National Bank,,Q2743499,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1814506,13.0496187
POINT (80.1901741 12.9692659),atm,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,en:ICICI Bank,ICICI,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1901741,12.969265899999998
POINT (80.2250666 12.9780142),atm,Union Bank of India,,Q2004078,,,,,Union Bank of India,,,Union Bank of India,,Q2004078,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2250666,12.9780142
POINT (80.2237585 12.9822495),atm,ICICI Bank,ICICI Bank,Q1653258,,yes,no,yes,ICICI Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,ICICI Bank,ICICI Bank,Q1653258,,ICICI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2237585,12.9822495
POINT (80.2217445 12.982491),atm,Union Bank of India,,Q2004078,,,,,Union Bank of India,,,Union Bank of India,,Q2004078,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2217445,12.982490999999998
POINT (80.2223684 12.9764583),atm,Canara Bank,Canara Bank,Q2003777,,,,,Canara Bank,,,Canara Bank,,Q2003777,,,,,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,Canara Bank,केनरा बैंक,ಕೆನರಾ ಬ್ಯಾಂಕ್,ਕੇਨਰਾ ਬੈਂਕ,کینرا بینک,کینرا بینک,,,,,,,,,,,,,,,,,,,,,,,,,80.22236840000001,12.976458299999996
POINT (80.2208708 12.9806162),atm,HDFC Bank,HDFC Bank,Q631047,,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,,HDFC,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.2208708,12.980616200000002
POINT (80.1900091 12.9695824),atm,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,yes,no,yes,HDFC Bank,"Contributors are requested to not edit the ""brand"", ""brand:en"", ""brand:wikidata"", ""operator"", ""operator:en"" and ""operator:wikidata"" tags. (2025/03/03)",24/7,HDFC Bank,HDFC Bank,Q631047,en:HDFC Bank,HDFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.1900091,12.969582400000002
